farmer_id,location,NDVI,avg_rainfall,avg_temp,crop_type,price_of_crop,farm_size_in_squire_meter,previous_loans_count,defaulted_loans_count,crop_yeild_per_squiremeter,total_yield(ksh),sesional_expense,credict_score,interest_rate,loan_limit,loan_duration
FARM_1003,"""-3.56504441594355725442255788948386907577514648,41.3756""",0.31,937,28.6,Coconut,101,7598,0,0,0.91,698332.18,116352,626,12.4,269440,14
FARM_1004,"""-0.09485473596518723127246630610898137092590332,35.1262""",0.87,481,23.2,Tomatoes,44,515,2,0,1.04,23566.4,5630,612,13.9,8955,23
FARM_1005,"""-4.38018675362846909848713039536960422992706299,35.7992""",0.59,1084,15.6,Tomatoes,89,1045,2,0,1.57,146017.85,25221,606,14.5,55122,16
FARM_1006,"""3.75667973933267429487159461132250726222991943,38.4651""",0.57,944,23.6,Sorghum,57,1353,1,0,0.52,40102.92,6041,561,14.4,14387,17
FARM_1007,"""-2.29334617111984284676395873248111456632614136,40.1127""",0.79,954,21.2,Wheat,87,2648,1,0,0.63,145136.88,26572,697,12.5,60292,20
FARM_1008,"""1.46145724449203306960498593980446457862854004,38.9548""",0.65,984,25.9,Cotton,183,787,2,0,0.41,59048.61,5519,679,12.1,24087,15
FARM_1009,"""-1.80108699236847824565188602718990296125411987,35.8571""",0.25,377,25.6,Sorghum,39,13223,2,0,0.8,412557.6,69933,539,14.4,144223,20
FARM_1010,"""0.13663259695364082801916083553805947303771973,34.0075""",0.55,430,19.4,Cotton,207,242,2,0,0.46,23043.24,2133,824,7.8,10792,21
FARM_1011,"""0.38440559789250094979706773301586508750915527,40.0572""",0.75,1030,20.7,Beans,131,359,0,0,0.55,25865.95,3885,724,10.7,11036,22
FARM_1012,"""-2.98085356361259856683432190038729459047317505,41.8817""",0.69,623,20.5,Coconut,110,1094,0,0,1.11,133577.4,23105,524,17.6,45862,15
FARM_1013,"""4.31713703821039462837916289572604000568389893,40.4793""",0.88,682,20.5,Coconut,99,2027,4,0,0.94,188632.62,25254,520,15.1,64449,27
FARM_1014,"""2.50873525725836543642799369990825653076171875,37.6817""",0.22,877,16.5,Tea,372,15413,2,0,0.99,5676299.64,996500,681,12.8,1000000,28
FARM_1015,"""4.03734015654695976849097860394977033138275146,41.2301""",0.38,738,23.3,Coconut,57,2274,1,0,1.26,163318.68,36934,605,13.3,61585,18
FARM_1016,"""3.62189435897713440937195628066547214984893799,37.2788""",0.58,970,22.3,Beans,103,2252,0,0,0.73,169327.88,10002,522,14.6,57995,22
FARM_1017,"""0.86046980294309172165867494186386466026306152,38.1995""",0.63,845,20.9,Vegetables,50,3830,2,0,0.86,164690.0,36375,630,12.2,63817,30
FARM_1018,"""3.87343038571498698985351438750512897968292236,37.8170""",0.39,651,23.0,Tea,360,1768,1,0,1.07,681033.6,110613,687,12.3,280075,17
FARM_1019,"""-3.87701973091714879871005905442871153354644775,37.5810""",0.78,676,23.1,Cotton,155,1392,0,0,1.14,245966.4,47415,676,13.6,100026,27
FARM_1020,"""-2.87735937950194964329853064555209130048751831,40.2015""",0.32,765,26.1,Potatoes,96,1017,1,1,1.47,143519.04,30035,522,16.1,49155,15
FARM_1021,"""-4.27938621313199618612088670488446950912475586,38.2142""",0.2,797,25.1,Sorghum,37,1668,0,0,0.43,26537.88,2137,675,12.6,10781,25
FARM_1022,"""-1.67442792390164152394049779104534536600112915,36.5337""",0.87,901,25.6,Maize,101,6136,1,0,1.05,650722.8,39423,680,14.7,265712,10
FARM_1023,"""-1.08530120588781731072458569542504847049713135,36.0653""",0.47,741,18.9,Cotton,218,1271,2,1,0.41,113601.98,17819,821,9.2,53062,20
FARM_1024,"""-2.17645400450276804704685673641506582498550415,34.3020""",0.87,679,18.1,Beans,150,1457,0,0,0.51,111460.5,15125,776,11.7,49971,12
FARM_1025,"""3.00725883511294345140640871250070631504058838,38.6656""",0.39,655,25.3,Cotton,162,1079,0,0,1.13,197521.74,32202,620,15.3,75717,31
FARM_1026,"""-1.38219406174961978450710375909693539142608643,35.8397""",0.24,592,28.0,Maize,100,1490,1,0,1.07,159430.0,33655,760,9.9,70415,24
FARM_1027,"""-2.08730905990735893240639597934205085039138794,35.1851""",0.74,1101,25.0,Beans,105,2583,2,0,1.27,344443.05,45273,713,12.2,145384,26
FARM_1028,"""0.34707357337171096389738522702828049659729004,39.2306""",0.79,482,23.2,Coconut,53,601,3,0,1.02,32490.06,6070,490,15.8,10695,33
FARM_1029,"""-3.38940470773470714505037904018536210060119629,39.4497""",0.54,385,22.0,Cotton,165,3355,1,0,0.5,276787.5,37281,642,13.0,108639,22
FARM_1030,"""2.76043192101256895654159961850382387638092041,40.0172""",0.25,923,32.0,Sorghum,55,1945,2,0,0.33,35301.75,7060,701,12.1,14724,23
FARM_1031,"""-4.00667901377813162611118968925438821315765381,38.0286""",0.66,820,24.9,Wheat,105,3139,0,0,0.79,260380.05,62062,664,14.0,104586,19
FARM_1032,"""4.47804851038481199765328710782341659069061279,41.1524""",0.33,1216,21.3,Coconut,91,3186,0,0,1.5,434889.0,42065,624,13.3,167432,17
FARM_1033,"""2.48187635445891441321464299107901751995086670,41.4907""",0.79,679,28.9,Coconut,105,776,1,1,1.5,122220.0,7733,744,11.0,53166,17
FARM_1034,"""-2.85194416173219655874504496750887483358383179,40.4590""",0.39,693,28.0,Tomatoes,95,1155,0,0,1.03,113016.75,16496,551,15.9,40074,21
FARM_1035,"""-4.64864431075049822084110928699374198913574219,39.0847""",0.79,494,17.0,Potatoes,66,513,1,1,1.77,59928.66,8111,613,11.7,22798,26
FARM_1036,"""2.88379128462995826254200437688268721103668213,36.4298""",0.5,725,17.7,Wheat,70,972,1,0,1.36,92534.4,8983,797,10.3,42296,22
FARM_1037,"""1.87377329778283918670922503224574029445648193,41.8636""",0.62,267,21.3,Sugarcane,123,1220,4,1,2.64,396158.4,73645,593,13.3,147404,19
FARM_1038,"""2.07976666278118216268921969458460807800292969,36.1931""",0.75,228,26.5,Wheat,72,8452,2,0,1.18,718081.92,44854,629,13.3,277958,23
FARM_1039,"""2.47281422417929608315034784027375280857086182,35.6213""",0.23,564,20.0,Potatoes,83,3183,3,0,1.56,412134.84,71414,775,8.9,184602,18
FARM_1040,"""-4.01138473887295976538780450937338173389434814,37.5372""",0.77,717,18.4,Vegetables,68,530,1,0,1.55,55862.0,3699,807,8.7,25766,31
FARM_1041,"""-1.36626872453826475606319945654831826686859131,34.4547""",0.3,553,24.8,Coffee,369,535,3,0,0.43,84888.45,19420,620,12.8,32541,23
FARM_1042,"""-3.62241774641629366016104540904052555561065674,41.8280""",0.45,555,15.2,Tomatoes,32,15449,0,0,1.81,894806.08,146986,735,12.8,385885,29
FARM_1043,"""3.32686186064302003018156028701923787593841553,38.7075""",0.53,323,20.8,Tomatoes,38,2191,0,0,1.42,118226.36,19183,752,10.8,51823,14
FARM_1044,"""1.09667257949628904611927282530814409255981445,38.4556""",0.83,858,18.2,Maize,97,354,1,0,1.33,45669.54,9365,620,14.0,17507,26
FARM_1045,"""-1.62264836887036256740657336194999516010284424,39.2464""",0.22,522,22.0,Potatoes,76,790,5,1,1.29,77451.6,15419,768,10.3,34466,16
FARM_1046,"""-4.10890734233998067281845578690990805625915527,37.9762""",0.59,1115,18.7,Coffee,302,377,5,1,0.43,48957.22,2600,480,15.0,15911,21
FARM_1047,"""-1.80786440804434134221878593962173908948898315,34.2565""",0.65,683,21.5,Tea,244,1446,2,0,1.33,469255.92,107176,853,7.8,225438,12
FARM_1048,"""-1.67579510515125251757240221195388585329055786,38.8985""",0.42,437,23.5,Coconut,101,1915,0,0,0.87,168271.05,27819,609,12.9,63733,28
FARM_1049,"""2.08533745854399654717781231738626956939697266,39.7294""",0.4,124,22.5,Sugarcane,93,5656,4,1,1.74,915253.92,198814,572,15.9,332542,29
FARM_1050,"""1.22928448360348241408246394712477922439575195,37.3340""",0.54,393,20.1,Potatoes,85,488,2,0,2.44,101211.2,19829,490,16.7,33315,28
FARM_1051,"""3.55107850595983709496294977725483477115631104,40.0584""",0.33,684,20.8,Sorghum,68,939,2,0,0.82,52358.64,2948,607,12.9,19787,22
FARM_1052,"""-0.30840119599387172399929113453254103660583496,35.8160""",0.53,106,29.9,Sugarcane,86,2262,1,0,1.26,245110.32,18190,567,15.7,88546,26
FARM_1053,"""-3.58777351277379441540915649966336786746978760,35.7702""",0.74,502,25.1,Tea,284,3186,1,0,1.06,959113.44,82593,549,13.8,339286,25
FARM_1054,"""1.93317652117385385679426690330728888511657715,35.2913""",0.79,567,21.2,Beans,119,4863,4,1,0.69,399300.93,47922,653,11.7,158556,24
FARM_1055,"""2.37530095213714620427936097257770597934722900,36.9760""",0.47,515,22.6,Sorghum,58,285,2,0,0.8,13224.0,1780,651,9.9,5240,24
FARM_1056,"""0.51987793739631538159073897986672818660736084,40.7761""",0.63,554,23.6,Vegetables,68,1957,4,2,1.36,180983.36,35586,450,15.8,56557,19
FARM_1057,"""2.46999477357741792360457111499272286891937256,40.6233""",0.2,584,19.3,Beans,92,2614,4,0,0.72,173151.36,21494,708,11.5,72724,13
FARM_1058,"""-0.10770095381116551180866736103780567646026611,37.0626""",0.59,504,22.0,Sorghum,83,3646,1,0,0.74,223937.32,48362,455,16.8,70447,15
FARM_1059,"""0.16141531325254465656371394288726150989532471,38.7129""",0.88,1067,18.2,Sugarcane,58,1563,3,0,1.68,152298.72,22376,730,12.7,65362,29
FARM_1060,"""-0.72386852926548828079944541968870908021926880,39.7665""",0.42,546,18.5,Sorghum,90,2613,1,0,0.49,115233.3,13768,500,16.6,38411,9
FARM_1061,"""-4.46360212127991484720723747159354388713836670,35.9297""",0.62,100,25.1,Sugarcane,102,6519,3,1,2.19,1456214.22,309105,627,13.6,562463,19
FARM_1062,"""-3.69660972896226880379799695219844579696655273,35.3451""",0.73,291,25.5,Maize,84,1422,1,0,0.63,75252.24,5966,642,13.7,29537,20
FARM_1063,"""-4.40770857311337138639828481245785951614379883,41.7768""",0.63,850,26.0,Vegetables,66,1881,2,0,1.74,216014.04,36354,490,14.1,71105,16
FARM_1064,"""1.21861682475315813434235678869299590587615967,38.9405""",0.49,813,21.7,Tomatoes,32,1537,3,1,1.66,81645.44,4521,584,13.9,30073,10
FARM_1065,"""-1.77648937599016187860456739144865423440933228,41.8513""",0.31,569,20.3,Tomatoes,110,1178,2,0,1.71,221581.8,44082,571,13.1,80416,15
FARM_1066,"""0.02970742783173552226116953534074127674102783,36.7020""",0.52,347,22.0,Beans,106,463,1,0,0.92,45151.76,7769,663,13.3,18117,15
FARM_1067,"""3.74036820751266585460825808695517480373382568,39.6243""",0.41,878,15.7,Cotton,207,1186,2,0,1.18,289692.36,62052,484,15.8,94633,20
FARM_1068,"""-2.38158226891546309644809298333711922168731689,35.7808""",0.69,303,26.9,Tea,219,3187,1,0,0.71,495546.63,51276,723,11.2,211227,26
FARM_1069,"""-0.88343881576864324856046550848986953496932983,36.0896""",0.51,793,12.5,Sorghum,87,3018,4,1,0.91,238935.06,49370,546,15.4,84225,17
FARM_1070,"""2.32662558845035327692585269687697291374206543,38.0952""",0.79,593,25.4,Sugarcane,69,1530,1,0,2.95,311431.5,34138,692,15.1,128725,31
FARM_1071,"""-2.57217706092791109639961177890654653310775757,36.5569""",0.34,825,18.5,Tea,242,1646,1,0,0.68,270865.76,32896,654,12.1,107669,18
FARM_1072,"""-3.98408683859222545464717768481932580471038818,35.3410""",0.49,573,22.0,Vegetables,101,301,4,1,1.25,38001.25,9060,602,13.4,14282,18
FARM_1073,"""-2.00531148790195734576968789042439311742782593,36.1030""",0.59,1065,19.0,Coffee,298,4665,1,0,1.05,1459678.5,206650,527,14.2,502981,20
FARM_1074,"""-3.20064202853775903179212036775425076484680176,34.2860""",0.29,239,19.1,Wheat,74,241,2,0,0.86,15337.24,2370,773,9.3,6857,6
FARM_1075,"""3.94618816678592931879165917052887380123138428,39.6354""",0.61,844,13.5,Sorghum,68,470,2,1,0.46,14701.6,3488,651,12.6,5826,12
FARM_1076,"""2.81551952994907850325034814886748790740966797,37.9369""",0.4,613,17.6,Potatoes,81,1643,3,0,1.55,206278.65,49436,611,14.8,78300,26
FARM_1077,"""1.19065493554693890843054759898222982883453369,34.7539""",0.36,524,25.2,Tomatoes,93,2815,4,0,1.1,287974.5,34149,666,12.0,115910,13
FARM_1078,"""3.40458348874577598763835339923389256000518799,35.3736""",0.3,1014,17.7,Coconut,55,6759,0,0,1.0,371745.0,52806,732,10.1,159850,24
FARM_1079,"""2.77415031516176480153035299736075103282928467,34.8203""",0.44,446,17.6,Cotton,214,4121,0,0,1.08,952445.52,148744,634,12.9,370660,33
FARM_1080,"""-2.96489845235986670957117894431576132774353027,38.9007""",0.85,759,21.6,Maize,110,3257,0,0,1.22,437089.4,48812,656,13.4,174107,21
FARM_1081,"""3.60079868595679375431473090429790318012237549,34.7537""",0.22,731,13.9,Sugarcane,107,2450,0,0,1.38,361767.0,67296,698,11.8,150435,10
FARM_1082,"""0.31588284981555148078768979758024215698242188,40.0343""",0.8,392,20.8,Sugarcane,79,200,2,0,2.21,34918.0,3551,675,13.2,14185,26
FARM_1083,"""2.80919344302578188887764554237946867942810059,34.1641""",0.48,906,22.9,Wheat,56,2553,1,0,0.53,75773.04,6179,597,13.4,28320,20
FARM_1084,"""3.63364908928848695524038703297264873981475830,35.9950""",0.59,1205,23.3,Wheat,56,4602,4,1,0.6,154627.2,36569,672,13.8,62624,22
FARM_1085,"""-1.74256768276166607023469623527489602565765381,41.1253""",0.56,1105,18.4,Cotton,131,391,3,1,0.55,28171.55,1475,701,12.8,11750,6
FARM_1086,"""-3.67651710189260594319193842238746583461761475,39.7483""",0.85,799,26.2,Sorghum,60,1963,1,0,0.5,58890.0,10203,451,17.2,18428,19
FARM_1087,"""-2.58020298835994221775536061613820493221282959,34.5837""",0.74,643,25.6,Beans,149,369,2,0,1.2,65977.2,12456,642,12.1,25896,16
FARM_1088,"""-0.72789756577581599117365840356796979904174805,40.5690""",0.89,904,16.0,Wheat,105,3407,1,0,0.92,329116.2,65634,675,11.6,133703,17
FARM_1089,"""2.90753732307918610899832856375724077224731445,37.9443""",0.76,942,24.5,Coffee,405,663,2,0,0.81,217497.15,33218,618,11.7,83193,24
FARM_1090,"""3.30479442428399483588918883469887077808380127,40.7743""",0.41,723,22.5,Wheat,59,15641,2,0,1.07,987416.33,98489,652,14.2,391675,18
FARM_1091,"""-4.63534518605992662543258120422251522541046143,38.8059""",0.87,103,23.8,Potatoes,99,3730,2,1,1.52,561290.4,118277,564,15.7,202065,11
FARM_1092,"""0.04994991397136150368396556586958467960357666,39.4547""",0.89,311,19.8,Vegetables,107,1932,1,0,1.53,316287.72,21139,508,13.6,106484,21
FARM_1093,"""-0.81807767071635506539450943819247186183929443,41.9480""",0.29,815,17.5,Coffee,379,1687,1,0,1.02,652160.46,157304,732,10.7,280429,19
FARM_1094,"""-2.63439736262220858264981870888732373714447021,35.8587""",0.83,781,21.5,Beans,92,3471,2,0,1.17,373618.44,42130,698,11.4,155363,8
FARM_1095,"""-3.58525208379675008885101306077558547258377075,38.9916""",0.66,585,23.3,Potatoes,83,3146,2,0,2.28,595349.04,38374,636,13.7,232186,17
FARM_1096,"""-1.56017890594625985301036052987910807132720947,37.6826""",0.85,769,23.4,Potatoes,77,2196,1,1,1.49,251947.08,17735,746,11.8,109807,17
FARM_1097,"""4.06906024638642893620499307871796190738677979,34.3156""",0.84,334,23.2,Vegetables,121,565,1,1,1.65,112802.25,27986,645,13.1,44416,24
FARM_1098,"""-1.69421273220697621297858859179541468620300293,34.1158""",0.82,655,18.2,Vegetables,64,3457,0,0,1.49,329659.52,56592,765,11.3,146286,12
FARM_1099,"""0.12475278221330476924322283593937754631042480,34.9538""",0.82,616,26.8,Cotton,129,996,4,0,0.47,60387.48,10390,831,9.7,28458,26
FARM_1100,"""1.83807631772515467361017726943828165531158447,39.1927""",0.28,209,26.2,Wheat,81,373,0,0,0.53,16012.89,3439,725,10.0,6839,16
FARM_1101,"""-1.31824469787256592923085918300785124301910400,38.5373""",0.3,722,22.9,Tea,287,1476,3,1,1.31,554931.72,82215,476,17.5,179428,19
FARM_1102,"""4.33757336930493497817451498121954500675201416,38.4274""",0.28,319,18.7,Coffee,428,1130,2,0,0.58,280511.2,28127,555,15.3,99932,18
FARM_1103,"""4.25075984296163422726522185257636010646820068,34.2549""",0.26,919,22.9,Maize,65,2065,4,1,1.1,147647.5,11810,636,12.2,57583,17
FARM_1104,"""-2.35842464882411340099110930168535560369491577,37.7544""",0.45,784,20.5,Tea,253,1269,1,0,0.62,199055.34,15093,583,13.8,73236,26
FARM_1105,"""-0.07558889520081546464780331007204949855804443,41.3970""",0.68,533,20.8,Coconut,50,939,1,1,1.55,72772.5,15196,466,15.3,23227,23
FARM_1106,"""-1.90183171870404210679339485068339854478836060,37.1807""",0.45,446,24.3,Maize,113,2651,0,0,1.26,377449.38,84634,684,13.9,154754,16
FARM_1107,"""-2.05098340228955100528196453524287790060043335,38.9994""",0.7,352,20.5,Sorghum,50,2759,2,1,0.8,110360.0,23975,629,13.6,42719,20
FARM_1108,"""-4.35695138960284555906810055603273212909698486,40.2385""",0.77,581,26.9,Beans,157,328,1,0,0.95,48921.2,11922,440,17.8,15084,14
FARM_1109,"""0.96894830601304082762226244085468351840972900,40.2714""",0.67,893,24.2,Cotton,153,1269,2,0,1.04,201923.28,45366,605,10.7,76142,28
FARM_1110,"""-0.02508508397158770719670428661629557609558105,38.1542""",0.53,615,25.5,Tea,286,1930,3,0,1.12,618217.6,81775,672,13.7,250378,18
FARM_1111,"""-4.22124761337509912806353895575739443302154541,40.8636""",0.41,657,18.9,Wheat,82,711,1,0,0.7,40811.4,3384,453,16.4,12805,11
FARM_1112,"""-2.10858788259951346333309629699215292930603027,37.1310""",0.29,424,19.8,Beans,80,2497,1,0,1.3,259688.0,53793,651,11.7,102901,20
FARM_1113,"""3.74687273948987975558111429563723504543304443,41.1095""",0.55,574,17.6,Potatoes,69,1670,2,0,1.43,164778.9,24956,556,15.9,58771,22
FARM_1114,"""-2.47207441679715644866632828779984265565872192,35.9218""",0.7,644,26.6,Coffee,403,1390,0,0,0.81,453737.7,54604,604,14.0,170908,17
FARM_1115,"""-3.35247768955162506188116822158917784690856934,36.2417""",0.58,731,32.1,Coconut,110,856,0,0,1.42,133707.2,7299,896,6.5,66631,15
FARM_1116,"""-0.14808932941866359556115639861673116683959961,34.4250""",0.71,656,23.8,Cotton,148,1122,2,0,0.87,144468.72,30229,436,14.3,44304,35
FARM_1117,"""4.46654922322858727312677729059942066669464111,40.3647""",0.43,812,22.9,Potatoes,75,4520,2,1,2.43,823770.0,185484,612,11.4,313033,16
FARM_1118,"""-2.44888597494304605106663075275719165802001953,37.3364""",0.25,864,20.3,Beans,99,6028,4,0,0.73,435643.56,71290,497,16.4,144670,23
FARM_1119,"""1.55086059087467109662838993244804441928863525,35.8329""",0.74,1082,27.7,Coffee,434,757,2,0,0.72,236547.36,56980,823,6.7,110684,20
FARM_1120,"""2.38306242255707356747507219552062451839447021,35.8543""",0.35,755,21.8,Coconut,77,1386,2,0,1.49,159015.78,9337,502,16.0,53138,35
FARM_1121,"""-2.48997084087068287772126495838165283203125000,41.2112""",0.63,805,19.7,Potatoes,61,660,4,0,2.05,82533.0,5405,580,14.9,30262,22
FARM_1122,"""2.07241204209029472593783793854527175426483154,40.6713""",0.76,569,16.8,Coconut,98,1513,1,0,1.15,170515.1,12616,722,12.0,72611,18
FARM_1123,"""-1.27961686571094501729817238810937851667404175,38.4282""",0.3,1085,18.3,Beans,107,2090,0,0,1.1,245993.0,30295,608,15.4,93067,19
FARM_1124,"""1.18044422452028907599697049590758979320526123,38.9289""",0.62,582,22.2,Wheat,65,1740,0,0,1.24,140244.0,16928,494,18.7,46397,16
FARM_1125,"""1.19182631007632089392700436292216181755065918,37.7946""",0.68,851,15.6,Tomatoes,67,200,1,0,0.82,10988.0,1909,686,13.4,4514,14
FARM_1126,"""0.28270456189525372536763825337402522563934326,37.1333""",0.72,577,17.7,Tomatoes,81,5217,2,0,1.03,435254.31,95813,766,13.2,193325,29
FARM_1127,"""-3.86030513849400280790291617449838668107986450,41.3238""",0.3,664,27.8,Sugarcane,92,1035,2,1,2.66,253285.2,17558,658,13.3,101103,17
FARM_1128,"""3.06831320897991322027564820018596947193145752,35.0049""",0.78,705,24.9,Sorghum,41,513,5,0,0.45,9464.85,1454,722,11.0,4030,25
FARM_1129,"""-1.71674539576285667408228619024157524108886719,37.3476""",0.27,212,20.9,Tomatoes,73,734,3,0,1.37,73407.34,4686,693,13.9,30372,16
FARM_1130,"""-2.96537785328135594653531370568089187145233154,36.7565""",0.56,750,25.3,Sorghum,57,4464,0,0,0.79,201013.92,14982,599,14.1,75296,19
FARM_1131,"""-4.32079118354069535712369543034583330154418945,37.9852""",0.51,680,19.3,Potatoes,59,3215,3,1,1.39,263662.15,53563,584,12.5,97116,15
FARM_1132,"""0.79530437165064871152253545005805790424346924,37.6611""",0.36,532,24.7,Potatoes,42,1562,4,2,1.57,102998.28,16524,300,22.2,25750,8
